"","gene_id","gene_name","overall_rank","average_rank","n_withinTop2000"
"ENSG00000167964","ENSG00000167964","RAB26",800,1074,4
"ENSG00000109339","ENSG00000109339","MAPK10",801,1075.25,3
"ENSG00000022355","ENSG00000022355","GABRA1",802,1075.75,4
"ENSG00000188229","ENSG00000188229","TUBB4B",803,1076.25,4
"ENSG00000135454","ENSG00000135454","B4GALNT1",804,1077.5,4
"ENSG00000198513","ENSG00000198513","ATL1",805,1077.75,4
"ENSG00000110514","ENSG00000110514","MADD",806,1078.25,4
"ENSG00000205364","ENSG00000205364","MT1M",807,1078.75,4
"ENSG00000198961","ENSG00000198961","PJA2",808,1079.5,4
"ENSG00000019582","ENSG00000019582","CD74",809,1081,4
"ENSG00000198755","ENSG00000198755","RPL10A",810,1083.25,4
"ENSG00000118160","ENSG00000118160","SLC8A2",811,1083.5,4
"ENSG00000129636","ENSG00000129636","ITFG1",812,1084,4
"ENSG00000115194","ENSG00000115194","SLC30A3",813.5,1084.75,4
"ENSG00000146701","ENSG00000146701","MDH2",813.5,1084.75,4
"ENSG00000161091","ENSG00000161091","MFSD12",815,1085.75,3
